Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5885681,25,false,Rx,0,8,0,3,10,22,0,0,8,AB
5895580,25,false,Rx,0,8,0,3,10,22,0,0,9,B6
5905398,25,false,Rx,0,8,0,3,10,22,0,0,0A,91
5915519,25,false,Rx,0,8,0,3,10,22,0,0,0B,8C
5925498,25,false,Rx,0,8,0,3,10,22,0,0,0C,DF
5935398,25,false,Rx,0,8,0,3,10,22,0,0,0D,C2
5945545,25,false,Rx,0,8,0,3,10,22,0,0,0E,E5
5955463,25,false,Rx,0,8,0,3,10,24,0,0,0F,91
5965392,25,false,Rx,0,8,0,3,10,24,0,0,0,2A
5975484,25,false,Rx,0,8,0,3,10,24,0,0,1,37
5985600,25,false,Rx,0,8,0,3,10,26,0,0,2,37
5995377,25,false,Rx,0,8,0,3,10,26,0,0,3,2A
6005559,25,false,Rx,0,8,0,3,10,26,0,0,4,79
6015438,25,false,Rx,0,8,0,3,10,26,0,0,5,64
6025891,25,false,Rx,0,8,0,3,10,26,0,0,6,43
6035358,25,false,Rx,0,8,0,3,10,26,0,0,7,5E
6045482,25,false,Rx,0,8,0,3,10,26,0,0,8,E5
6055753,25,false,Rx,0,8,0,3,10,26,0,0,9,F8
6065502,25,false,Rx,0,8,0,3,10,26,0,0,0A,DF
6075519,25,false,Rx,0,8,0,3,10,28,0,0,0B,37
6085701,25,false,Rx,0,8,0,3,10,28,0,0,0C,64
6095419,25,false,Rx,0,8,0,3,10,28,0,0,0D,79
6105418,25,false,Rx,0,8,0,3,10,2A,0,0,0E,79
6115661,25,false,Rx,0,8,0,3,10,2A,0,0,0F,64
6125817,25,false,Rx,0,8,0,3,10,2A,0,0,0,DF
6135419,25,false,Rx,0,8,0,3,10,2A,0,0,1,C2
6145600,25,false,Rx,0,8,0,3,10,2A,0,0,2,E5
6155479,25,false,Rx,0,8,0,3,10,2A,0,0,3,F8
6165374,25,false,Rx,0,8,0,3,10,2A,0,0,4,AB
6175559,25,false,Rx,0,8,0,3,10,2A,0,0,5,B6
6185465,25,false,Rx,0,8,0,3,10,2C,0,0,6,F8
6195355,25,false,Rx,0,8,0,3,10,2C,0,0,7,E5
6205419,25,false,Rx,0,8,0,3,10,2C,0,0,8,5E
6215539,25,false,Rx,0,8,0,3,10,2C,0,0,9,43
6225389,25,false,Rx,0,8,0,3,10,2C,0,0,0A,64
6235404,25,false,Rx,0,8,0,3,10,2C,0,0,0B,79
6245519,25,false,Rx,0,8,0,3,10,2C,0,0,0C,2A
6255337,25,false,Rx,0,8,0,3,10,2C,0,0,0D,37
6265608,25,false,Rx,0,8,0,3,10,2C,0,0,0E,10
6275479,25,false,Rx,0,8,0,3,10,2C,0,0,0F,0D
6285721,25,false,Rx,0,8,0,3,10,2C,0,0,0,B6
6295438,25,false,Rx,0,8,0,3,10,2C,0,0,1,AB
6305377,25,false,Rx,0,8,0,3,10,2C,0,0,2,8C
6315741,25,false,Rx,0,8,0,3,10,2C,0,0,3,91
6325415,25,false,Rx,0,8,0,3,10,2C,0,0,4,C2
6335378,25,false,Rx,0,8,0,3,10,2C,0,0,5,DF
6345619,25,false,Rx,0,8,0,3,10,2C,0,0,6,F8
6355377,25,false,Rx,0,8,0,3,10,2C,0,0,7,E5
6365377,25,false,Rx,0,8,0,3,10,2A,0,0,8,37
6375601,25,false,Rx,0,8,0,3,10,2A,0,0,9,2A
6385418,25,false,Rx,0,8,0,3,10,2A,0,0,0A,0D
6395378,25,false,Rx,0,8,0,3,10,2A,0,0,0B,10
6405559,25,false,Rx,0,8,0,3,10,2A,0,0,0C,43
6415620,25,false,Rx,0,8,0,3,10,28,0,0,0D,79
6425349,25,false,Rx,0,8,0,3,10,28,0,0,0E,5E
6435484,25,false,Rx,0,8,0,3,10,28,0,0,0F,43
6445539,25,false,Rx,0,8,0,3,10,28,0,0,0,F8
6455437,25,false,Rx,0,8,0,3,10,28,0,0,1,E5
6465444,25,false,Rx,0,8,0,3,10,28,0,0,2,C2
6475504,25,false,Rx,0,8,0,3,10,28,0,0,3,DF
6485377,25,false,Rx,0,8,0,3,10,28,0,0,4,8C
6495517,25,false,Rx,0,8,0,3,10,28,0,0,5,91
6505458,25,false,Rx,0,8,0,3,10,2A,0,0,6,91
6515700,25,false,Rx,0,8,0,3,10,2A,0,0,7,8C
6525437,25,false,Rx,0,8,0,3,10,2A,0,0,8,37
6535398,25,false,Rx,0,8,0,3,10,28,0,0,9,0D
6545826,25,false,Rx,0,8,0,3,10,28,0,0,0A,2A
6555519,25,false,Rx,0,8,0,3,10,28,0,0,0B,37
6565400,25,false,Rx,0,8,0,3,10,28,0,0,0C,64
6575700,25,false,Rx,0,8,0,3,10,28,0,0,0D,79
6585398,25,false,Rx,0,8,0,3,10,28,0,0,0E,5E
6595419,25,false,Rx,0,8,0,3,10,28,0,0,0F,43
6605680,25,false,Rx,0,8,0,3,10,28,0,0,0,F8
6615375,25,false,Rx,0,8,0,3,10,28,0,0,1,E5
6625406,25,false,Rx,0,8,0,3,10,28,0,0,2,C2
6635600,25,false,Rx,0,8,0,3,10,28,0,0,3,DF
6645358,25,false,Rx,0,8,0,3,10,28,0,0,4,8C
6655358,25,false,Rx,0,8,0,3,10,2A,0,0,5,B6
6665664,25,false,Rx,0,8,0,3,10,2A,0,0,6,91
6675370,25,false,Rx,0,8,0,3,10,2A,0,0,7,8C
6685442,25,false,Rx,0,8,0,3,10,2A,0,0,8,37
6695640,25,false,Rx,0,8,0,3,10,2A,0,0,9,2A
6705722,25,false,Rx,0,8,0,3,10,2A,0,0,0A,0D
6715358,25,false,Rx,0,8,0,3,10,2A,0,0,0B,10
6725545,25,false,Rx,0,8,0,3,10,2A,0,0,0C,43
6735584,25,false,Rx,0,8,0,3,10,2A,0,0,0D,5E
6745458,25,false,Rx,0,8,0,3,10,2A,0,0,0E,79
6755700,25,false,Rx,0,8,0,3,10,2A,0,0,0F,64
6765600,25,false,Rx,0,8,0,3,10,2A,0,0,0,DF
6775335,25,false,Rx,0,8,0,3,10,2A,0,0,1,C2
6785721,25,false,Rx,0,8,0,3,10,2A,0,0,2,E5
6795559,25,false,Rx,0,8,0,3,10,2A,0,0,3,F8
6805377,25,false,Rx,0,8,0,3,10,2A,0,0,4,AB
6815620,25,false,Rx,0,8,0,3,10,2A,0,0,5,B6
6825517,25,false,Rx,0,8,0,3,10,2A,0,0,6,91
6835438,25,false,Rx,0,8,0,3,10,2A,0,0,7,8C
6845377,25,false,Rx,0,8,0,3,10,2A,0,0,8,37
6855680,25,false,Rx,0,8,0,3,10,2A,0,0,9,2A
6865397,25,false,Rx,0,8,0,3,10,2A,0,0,0A,0D
6875741,25,false,Rx,0,8,0,3,10,2A,0,0,0B,10
6885718,25,false,Rx,0,8,0,3,10,2A,0,0,0C,43
6895438,25,false,Rx,0,8,0,3,10,2A,0,0,0D,5E
6905680,25,false,Rx,0,8,0,3,10,2A,0,0,0E,79
6915559,25,false,Rx,0,8,0,3,10,2A,0,0,0F,64
6925390,25,false,Rx,0,8,0,3,10,2A,0,0,0,DF
6935358,25,false,Rx,0,8,0,3,10,2A,0,0,1,C2
6945357,25,false,Rx,0,8,0,3,10,28,0,0,2,C2
6955540,25,false,Rx,0,8,0,3,10,28,0,0,3,DF
6965317,25,false,Rx,0,8,0,3,10,28,0,0,4,8C
6975829,25,false,Rx,0,8,0,3,10,28,0,0,5,91
6985501,25,false,Rx,0,8,0,3,10,28,0,0,6,B6
6995580,25,false,Rx,0,8,0,3,10,2A,0,0,7,8C
7005700,25,false,Rx,0,8,0,3,10,2A,0,0,8,37
7015398,25,false,Rx,0,8,0,3,10,2A,0,0,9,2A
7025413,25,false,Rx,0,8,0,3,10,2A,0,0,0A,0D
7035448,25,false,Rx,0,8,0,3,10,2A,0,0,0B,10
7045458,25,false,Rx,0,8,0,3,10,2A,0,0,0C,43
7055518,25,false,Rx,0,8,0,3,10,2A,0,0,0D,5E
7065361,25,false,Rx,0,8,0,3,10,2A,0,0,0E,79
7075661,25,false,Rx,0,8,0,3,10,2A,0,0,0F,64
7085486,25,false,Rx,0,8,0,3,10,2C,0,0,0,B6
7095317,25,false,Rx,0,8,0,3,10,2C,0,0,1,AB
7105497,25,false,Rx,0,8,0,3,10,2C,0,0,2,8C
7115438,25,false,Rx,0,8,0,3,10,2C,0,0,3,91
7125871,25,false,Rx,0,8,0,3,10,2C,0,0,4,C2
7135540,25,false,Rx,0,8,0,3,10,2C,0,0,5,DF
7145419,25,false,Rx,0,8,0,3,10,2C,0,0,6,F8
7155358,25,false,Rx,0,8,0,3,10,2C,0,0,7,E5
7165397,25,false,Rx,0,8,0,3,10,2C,0,0,8,5E
7175640,25,false,Rx,0,8,0,3,10,2C,0,0,9,43
7185335,25,false,Rx,0,8,0,3,10,2C,0,0,0A,64
7195413,25,false,Rx,0,8,0,3,10,2C,0,0,0B,79
7205498,25,false,Rx,0,8,0,3,10,2C,0,0,0C,2A
7215342,25,false,Rx,0,8,0,3,10,2C,0,0,0D,37
7225418,25,false,Rx,0,8,0,3,10,2C,0,0,0E,10
7235498,25,false,Rx,0,8,0,3,10,2C,0,0,0F,0D
7245377,25,false,Rx,0,8,0,3,10,2C,0,0,0,B6
7255498,25,false,Rx,0,8,0,3,10,2C,0,0,1,AB
7265519,25,false,Rx,0,8,0,3,10,2A,0,0,2,E5
7275337,25,false,Rx,0,8,0,3,10,2A,0,0,3,F8
7285396,25,false,Rx,0,8,0,3,10,2A,0,0,4,AB
7295437,25,false,Rx,0,8,0,3,10,2A,0,0,5,B6
7305360,25,false,Rx,0,8,0,3,10,2A,0,0,6,91
7315297,25,false,Rx,0,8,0,3,10,2C,0,0,7,E5
